doi,title,authors,year,journal,type,core,review_status,domains,finding,dichotomy_use,limitation,url
10.1029/2025je009486,Regional Mapping of MAVEN Orbital Magnetometer Data: Implications for the Nature of Crustal Field Sources and the Duration of the Mars Dynamo,L. L. Hood; T. Matlock; D. A. Crown; D. A. Williams; J. S. Oliveira; J. Halekas; B. Langlais; R. Lillis,2026,Journal of Geophysical Research: Planets,journal-article,False,Discovery candidate — not screened,Magnetism,,,,https://doi.org/10.1029/2025je009486
10.1029/2025rg000882,Composition of the Martian Crust and Its Relationship to the Martian Mantle: A Post‐InSight View,S. M. McLennan; A. Khan; P. A. Sossi; K. W. Cheng; C. Liebske,2026,Reviews of Geophysics,journal-article,False,Discovery candidate — not screened,Meteorite geochemistry,,,,https://doi.org/10.1029/2025rg000882
10.1029/2025sw004618,MAVEN EUVM Data Products for Space Weather at Mars,P. C. Chamberlin; G. A. DiBraccio; R. J. Borelli; Y. M. Collado‐Vega; S. Curry; F. G. Eparvier; C. O. Lee; M. L. Mays; E. M. B. Thiemann; C. Wiegand,2026,Space Weather,journal-article,False,Discovery candidate — not screened,Magnetism,,,,https://doi.org/10.1029/2025sw004618
10.1029/2026gl122393,Crustal Density Differences Along Mars' Dichotomy Boundary From Gravity and Topography,Sander Goossens; Terence J. Sabaka,2026,Geophysical Research Letters,journal-article,True,Abstract consulted,Interior,Orbital tracking analysis provides a constraint on the contrast in bulk crustal density between hemispheres.,Helps distinguish a thickness contrast from a density contrast.,Numerical densities were not reliably preserved in harvested abstract equations; consult the original figures before quantitative reuse.,https://doi.org/10.1029/2026gl122393
10.1029/2026gl122537,"Corundum Discovered by SuperCam and the Perseverance Rover at Jezero Crater, Mars",A. M. Ollila; O. Beyssac; A. Fau; O. Forni; E. Clavé; P. Beck; C. C. Bedford; V. Payre; E. Dehouck; S. A. Connell; J. A. Manrique; P. Pilleri; O. Gasnault; G. M. Martinez; A. Udry; S. Bernard; P. Gasda; T. Acosta‐Maeda; R. B. Anderson; T. S. J. Gabriel; F. Calef; J. F. Bell; J. Maki; S. Schröder; C. Quantin‐Nataf; J. R. Johnson; B. Chide; K. Rammelkamp; F. Poulet; C. Royer; M. Rock; N. L. Lanza; S. K. Sharma; G. Lopez‐Reyes; T. Fouchet; J. Comellas; A. Zastrow; E. Cloutis; R. C. Wiens; A. Cousin; S. Maurice; S. Clegg; P. Bernardi; T. Nelson,2026,Geophysical Research Letters,journal-article,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.1029/2026gl122537
10.1029/2026je009678,Viscosity and Thermal Conductivity of Iron‐Rich Silicate Melts at the Martian Core‐Mantle Boundary: Implications for a Basal Molten Layer,Xiaoguang Niu; Ruixi Liu; Zhiming Zhang; Yicheng Sun; Guangjun Guo; Shengxuan Huang; Yang Li; Zhigang Zhang,2026,Journal of Geophysical Research: Planets,journal-article,False,Discovery candidate — not screened,Interior,,,,https://doi.org/10.1029/2026je009678
10.1029/2026je009718,Early Water on Mars Hindered Subduction‐Driven Plate Tectonics,Subhendu Pramanik; David Hernández‐Uribe; Andrew J. Dombard,2026,Journal of Geophysical Research: Planets,journal-article,False,Discovery candidate — not screened,Volcanism and tectonics,,,,https://doi.org/10.1029/2026je009718
10.1029/2026je009722,Mechanisms of Vesicle Evolution in the Fusion Crust of the Martian Meteorite NWA 10645,Chunjie Cao; Duojun Wang; Kenan Han; Kewei Shen; Kexuan Zhang,2026,Journal of Geophysical Research: Planets,journal-article,False,Discovery candidate — not screened,Meteorite geochemistry,,,,https://doi.org/10.1029/2026je009722
10.1038/s41467-026-72209-x,"Partially melted low velocity zones reveal an active upper mantle beneath Elysium Planitia, Mars",Mingwei Dai; Daoyuan Sun; Chenyang Zhao; Zhu Mao; Ningyu Sun; Huixing Bi,2026,Nature Communications,journal-article,False,Discovery candidate — not screened,Volcanism and tectonics,,,,https://doi.org/10.1038/s41467-026-72209-x
10.1038/s41550-026-02907-5,Seismic evidence for a melt-depleted lower crust and transcrustal magmatism on Mars,T. Mackay-Champion; M. Anderson Loake; R. Palin; J. Wade; J.-M. Kendall,2026,Nature Astronomy,journal-article,True,Selected full-text sections consulted,Interior,Seismic and petrological modelling interprets a lower-crustal layer beneath InSight as melt-depleted ultramafic material.,Adds lithological differentiation without requiring plate tectonics.,A local seismic anchor and phase-equilibrium models do not establish global lower-crustal uniformity.,https://doi.org/10.1038/s41550-026-02907-5
10.1038/s41550-026-02917-3,Primary evaporite in southern Utopia Planitia on Mars from Zhurong rover observations,Jiacheng Liu; Bo Wu; Wenyuan Gao; James W. Head; Joseph R. Michalski; Mei-Fu Zhou; Anthony E. Williams-Jones; Xingao Hou; Zongcheng Ling; Zhongchen Wu; Changqing Liu; Yuqi Qian; Honglei Lin; Sen Hu; Yu Sun; Wei Tan; Xiao Wang; Guochun Zhao,2026,Nature Astronomy,journal-article,False,Discovery candidate — not screened,Surface and water,,,,https://doi.org/10.1038/s41550-026-02917-3
10.1038/s41586-026-10893-x,Tidal tomography reveals a thermal anomaly beneath Mars’s crustal dichotomy,Alexander Berne; Nicholas Wagner; Isamu Matsuyama; Sander Goossens; Antonio Genova; Marc Rovira-Navarro; Amirhossein Bagheri; Chuan Qin; Angela Marusiak; Douglas Hemingway; Harriet C. P. Lau; Kar Wai Cheng; Shijie Zhong; Francis Nimmo,2026,Nature,journal-article,True,Selected full-text sections consulted,Interior,Orbiter tracking reveals asymmetric seasonal tidal gravity; inversion supports a hotter southern mantle.,Adds a present-day interior constraint; atmospheric pressure loading is explicitly modelled with MCD.,Convection and crustal insulation remain alternatives. Atmospheric and elastic-model sensitivity must accompany the inversion.,https://doi.org/10.1038/s41586-026-10893-x
10.1038/s43247-026-03227-2,Igneous and sedimentary origins of Jezero crater units from X-ray crystal mapping on Mars,Brendan J. Orenstein; David T. Flannery; Michael W. M. Jones; Eleanor L. Moreland; Kirsten L. Siebach; Michael M. Tice; Allan H. Treiman; Briony Horgan; Balz Kamber; Athanasios Klidaras; Luke Nothdurft; Yang Liu; Edward A. Cloutis; Abigail C. Allwood; Scott VanBommel,2026,Communications Earth & Environment,journal-article,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.1038/s43247-026-03227-2
10.1038/s44453-026-00048-7,Remanent crustal strain on Mars in non-poikilitic olivine of NWA 7721,Yaozhu Li; Szilvia Kalácska; Phil J. A. McCausland; Roberta L. Flemming; Callum J. Hetherington; Bo Zhao; Can Yildirim; Carsten Detlefs,2026,npj Space Exploration,journal-article,False,Discovery candidate — not screened,Meteorite magnetism; Meteorite geochemistry,,,,https://doi.org/10.1038/s44453-026-00048-7
10.1038/scientificamerican072026-338xwiuaanm1eke7rmb42m,Martian Shadow,Joseph Howlett,2026,Scientific American,journal-article,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.1038/scientificamerican072026-338xwiuaanm1eke7rmb42m
10.1080/00107514.2026.2644293,Martian impact craters: a morphological perspective,B. Ishak,2026,Contemporary Physics,journal-article,False,Discovery candidate — not screened,Meteorite provenance,,,,https://doi.org/10.1080/00107514.2026.2644293
10.1088/1674-4527/ae50db,Space Waterspout on Mars: MAVEN Observations of Siphoning Ion Escape from Mars through an Open Flux Tube,Pu Yang; Xiao-Jun Xu; Heng-Yan Man; Si-Qi Yi; Xing Wang; Lei Luo; Wen-Jing Zhao; Pei-Shan He; Zi-Lu Zhou; Hui Li; Jun Cui,2026,Research in Astronomy and Astrophysics,journal-article,False,Discovery candidate — not screened,Atmosphere,,,,https://doi.org/10.1088/1674-4527/ae50db
10.1126/sciadv.aea3420,A Noachian hydrosphere component in the 4.1-Ga Martian meteorite Teghaza 001,Lee Saper; Yang Liu; Yunbin Guan; Chi Ma; Elizabeth Ann Bell; Carl B. Agee,2026,Science Advances,journal-article,False,Discovery candidate — not screened,Meteorite magnetism,,,,https://doi.org/10.1126/sciadv.aea3420
10.1126/sciadv.aed5787,A plagioclase-rich protocrust on Mars formed by magma ocean crystallization,Xue Wang; Yanhao Lin; Wim van Westrenen,2026,Science Advances,journal-article,True,Abstract consulted,Meteorite geochemistry and provenance,Experiments explore buoyant differentiated protocrust formation during oxidized magma-ocean crystallization.,Expands possible initial crustal compositions for dichotomy models.,"Laboratory conditions and extrapolation to a global magma ocean are model assumptions, not direct mapping of Mars.",https://doi.org/10.1126/sciadv.aed5787
10.1126/science.adu8264,"Carbonated ultramafic igneous rocks in Jezero crater, Mars",Kenneth H. Williford; Kenneth A. Farley; Briony H. N. Horgan; Brad Garczynski; Allan H. Treiman; Sanjeev Gupta; Alexander J. Jones; Sandra Siljeström; Elise Clavé; Lisa Mayhew; Jeffrey T. Osterhout; Eleni Ravanis; Kathryn M. Stack; Sarah Fagents; Candice C. Bedford; Tanja Bosak; Sergei V. Bykov; David Flannery; Kevin P. Hand; Michael W. M. Jones; Linda Kah; Athanasios Klidaras; Justin Maki; Lucia Mandon; Elias Mansbach; Francis M. McCubbin; Justin I. Simon; Anushree Srivastava; Kyle Uckert; Roger C. Wiens; Sanna Alwmark; Julene Aramendia; Robert Barnes; Pierre Beck; James F. Bell; Sylvain Bernard; Rohit Bhartia; Michael S. Bramble; Adrian J. Brown; Adrian Broz; Denise Buckner; David C. Catling; Edward Cloutis; Stephanie Connell; Andrea Corpolongo; Andrew D. Czaja; Erwin Dehouck; Teresa Fornaro; Olivier Forni; Nikole C. Haney; Keyron Hickman-Lewis; William Hug; Ari Koeppel; Juan Manuel Madariaga; Jesús Martínez-Frías; Jorge I. Núñez; Brendan J. Orenstein; Yu Yu Phua; Cedric Pilorget; Nicolas Randazzo; Clément Royer; Eva L. Scheller; Nicole Schmitz; Susanne Schröder; Mark A. Sephton; Shiv Sharma; Sunanda Sharma; David Shuster; Kimberly P. Sinclair; Andrew Steele; Christian Tate; Benjamin Weiss; Amy J. Williams; Z. Uriah Wolf; R. Aileen Yingst,2026,Science,journal-article,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.1126/science.adu8264
10.1144/gslspecpub2025-35,Martian chronology,Hunter R. Edwards; Joseph E. Gutierrez; James M. D. Day,2026,"Geological Society, London, Special Publications",journal-article,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.1144/gslspecpub2025-35
10.21203/rs.3.rs-10379955/v1,No solid evidence for an inner core on Mars,Marjolein Visser; Federico Munch; Amir Khan; Daniel Andrew Frost; Domenico Giardini,2026,,posted-content,False,Discovery candidate — not screened,Interior,,,,https://doi.org/10.21203/rs.3.rs-10379955/v1
10.21203/rs.3.rs-10733550/v1,True polar wander of Mars during the Late Amazonian revealed by polar ice caps,Tao Wang; Shubin Xu; Jing Shi; Zheng Gong; Ling Chen,2026,,posted-content,False,Discovery candidate — not screened,Gravity and topography,,,,https://doi.org/10.21203/rs.3.rs-10733550/v1
10.2138/am-2025-9919,"Most nakhlite martian meteorites were magmas, not crystal cumulates",Allan H. Treiman,2026,American Mineralogist,journal-article,False,Discovery candidate — not screened,Meteorite magnetism,,,,https://doi.org/10.2138/am-2025-9919
10.2139/ssrn.7123182,Martian Chapar-Khaneh,Mehdi Ebrahimi,2026,,posted-content,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.2139/ssrn.7123182
10.22541/essoar.15001847/v1,An Axial and Reversing Dynamo on Mars Before 4.0 Ga,JunFeng Qin; Michael Manga; Sarah C Steele; Robert James Lillis; Benoit Langlais; Shannon M. Curry,2026,,posted-content,False,Discovery candidate — not screened,Magnetism,,,,https://doi.org/10.22541/essoar.15001847/v1
10.22541/essoar.15001996/v1,Teghaza 001: An ancient Martian gabbroic diorite derived from previously unsampled Martian crust and mantle,Yang Liu; Lee Saper; Elizabeth Ann Bell; Chi Ma; Haoyu Li; Jinping Hu; Yunbin Guan; Hayward Melton; Alicia M. Cruz-Uribe; Teng Ee Yap; Francois L.H. Tissot; Claire E. Bucholz; Karen Ziegler; Carl B. Agee,2026,,posted-content,False,Discovery candidate — not screened,Meteorite geochemistry,,,,https://doi.org/10.22541/essoar.15001996/v1
10.22541/essoar.175443228.85241644/v3,Primitive crust buried below southern highland of Mars,Shuoran Yu; Nan Zhang; Mingjie Zhang; Long Xiao,2026,,posted-content,False,Discovery candidate — not screened,Gravity and topography; Meteorite geochemistry; Chronology,,,,https://doi.org/10.22541/essoar.175443228.85241644/v3
10.2307/jj.36106107.14,Martian Sleep,,2026,The Sleepless Ape,book-chapter,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.2307/jj.36106107.14
10.3847/1538-4357/ae32ef,Primitive Crust Buried Below the Southern Highland of Mars,Shuoran Yu; Nan Zhang; Mingjie Zhang; Long Xiao,2026,The Astrophysical Journal,journal-article,False,Discovery candidate — not screened,Gravity and topography; Meteorite geochemistry; Chronology,,,,https://doi.org/10.3847/1538-4357/ae32ef
10.5194/egusphere-egu26-10624,Dust escape from Mars,Martin Bødker Bonde Enghoff; Peter Siegbjørn Jørgensen; Mathias Benn; John Leif Jørgensen; John E.P. Connerney,2026,,posted-content,False,Discovery candidate — not screened,Atmosphere,,,,https://doi.org/10.5194/egusphere-egu26-10624
10.5194/egusphere-egu26-10791,Assessing the Role of Water–Rock Interactions in Martian Crustal Magnetization,Anna Mittelholz; Gaia Stucky de Quay; Adrien Broquet; Timothee Delcourt; Catherine Johnson; Max Moorkamp; Luju Ojha,2026,,posted-content,False,Discovery candidate — not screened,Magnetism,,,,https://doi.org/10.5194/egusphere-egu26-10791
10.5194/egusphere-egu26-13312,"Using Mastcam Multispectral Data from Curiosity to Correct Orbital Observations of Gale Crater, Mars",Alivia Eng; Frances Rivera-Hernández; Nicolas Thomas; Livio Tornabene; Adomas Valantinas; James Wray,2026,,posted-content,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.5194/egusphere-egu26-13312
10.5194/egusphere-egu26-14203,Constraining the stratigraphic fill of Mars’ northern lowlands from buried-crater statistics: implications for resurfacing history and volatile budgets,Francesco Salese; Eric Hiatt; Monica Pondrelli; Marc Hesse; Matilda Soldano; Alberto Fairén,2026,,posted-content,False,Discovery candidate — not screened,Chronology,,,,https://doi.org/10.5194/egusphere-egu26-14203
10.5194/egusphere-egu26-14982,"Perseverance-Exposed Broken Rock Interiors and Subsurface Regolith in Jezero Crater, Mars.",Grady Robbins; Jim Bell; Jeff Johnson; Melissa Rice; Olivier Gasnault,2026,,posted-content,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.5194/egusphere-egu26-14982
10.5194/egusphere-egu26-15381,Constraints on Shallow Subsurface Water Ice in Southern Utopia Planitia from Mars Rover Penetrating Radar,Yi Xu; Iraklis Giannakis; Xindong Meng; Ling Zhang; Roberto Bugiolacchi; Jiannan Zhao,2026,,posted-content,False,Discovery candidate — not screened,Surface and water,,,,https://doi.org/10.5194/egusphere-egu26-15381
10.5194/egusphere-egu26-16580,Crustal Structural Layering and Regional Stratigraphic Variations on Mars,Ling Chen; Xu Wang; Xin Wang; Yike Liu; Jinhai Zhang; Yongxin Pan,2026,,posted-content,False,Discovery candidate — not screened,Magnetism,,,,https://doi.org/10.5194/egusphere-egu26-16580
10.5194/epsc2026-1004,Martian Ionospheric Variability from Mars Express and MAVEN Radio Occultations,Ananya Krishnan; Ozgur Karatekin; Olivier Witasse,2026,,posted-content,False,Discovery candidate — not screened,Magnetism,,,,https://doi.org/10.5194/epsc2026-1004
10.5194/epsc2026-169,20 Years of Mars Science from MRO HiRISE,Alfred McEwen; Shane Byrne,2026,,posted-content,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.5194/epsc2026-169
10.5194/epsc2026-312,Sky Spectroscopy with the Perseverance and Curiosity Mars Rovers: Latest results for Molecular Oxygen and Water Vapor,Timothy McConnochie; Co-authors,2026,,posted-content,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.5194/epsc2026-312
10.5194/epsc2026-444,"The returned sample science of the samples collected by NASA Perseverance rover at Jezero Crater, Mars",Sandra Siljeström; Chris Herd; Tanja Bosak; Ken Farley; Kathryn Stack; Kathleen Benison; Andy Czaja; Vinciane Debaille; Elisabeth Hausrath; Keyron Hickman-Lewis; Lisa Mayhew; Mark Sephton; David Shuster; Justin Simon; Maria-Paz Zorzano,2026,,posted-content,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.5194/epsc2026-444
10.5194/epsc2026-599,"The formation of long-wavelength variations in crustal thickness on Mars, Mercury and the Moon.",Valentin Bonnet Gibet; Chloé Michaut; Nicola Tosi,2026,,posted-content,False,Discovery candidate — not screened,Interior,,,,https://doi.org/10.5194/epsc2026-599
10.5194/epsc2026-752,Potential Crustal Magnetic Field Shielding Using Mars Radar Observations,Caitlin Hanna; Beatriz Sánchez-Cano; Dikshita Meggi; Simon Joyce; Maria Contreras-Dominguez; Mark Lester; Adrian Martindale; Marco Cartacci; Olivier Witasse; Jared Espley; Jingnan Guo; Christina Lee; Christopher Fowler; Bruce Campbell,2026,,posted-content,False,Discovery candidate — not screened,Magnetism,,,,https://doi.org/10.5194/epsc2026-752
10.5194/epsc2026-753,Martian resources and restoration/terraforming of Martian environment,Leszek Czechowski,2026,,posted-content,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.5194/epsc2026-753
10.5194/epsc2026-771,Investigating mantle flow on Mars,Riva Alkahal; Bart Root; Cedric Thieulot; Dominic Dirkx,2026,,posted-content,False,Discovery candidate — not screened,Interior,,,,https://doi.org/10.5194/epsc2026-771
10.5194/epsc2026-813,A Unified Climatology of Mars’ Atmospheric Thermal Structure and Variability from MAVEN and TGO Observations,Miguel Angel Lopez-Valverde; Francisco Gonzalez-Galindo; Juan Alday; Edward Thiemann; Scott Evans; Sumedha Gupta; Anna Fedorova; Denis Belyaev; Loic Trompet; Nicholas Jones; Sonal Jain; Marcin Pilinski; Francois Forget; Ehuoarn MIllour; Ian Thomas; Ann Carine Vandaele; Nicholas Schneider,2026,,posted-content,False,Discovery candidate — not screened,Atmosphere,,,,https://doi.org/10.5194/epsc2026-813
10.5194/isprs-annals-x-4-w8-2025-541-2026,MAVEN Observations Uncover Enhanced Electron Density Variations in Mars' Crustal Magnetic Field Regions,Anita Mohebbi; Somaiyeh Sabri,2026,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",journal-article,False,Discovery candidate — not screened,Interior; Magnetism; Atmosphere,,,,https://doi.org/10.5194/isprs-annals-x-4-w8-2025-541-2026
10.62486/978-9915-704-15-9.ch18,Martian Republicanism,Julio César Arranz Flores; Brenda García Herrera,2026,"Latin American Memories, Conflicts, and Futurities: Identity, justice, and social change (Spanish Version)",book-chapter,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.62486/978-9915-704-15-9.ch18
10.64076/iedc260111.20,About the Origin of the Planet Mars,Anatoliy Vidmachenko,2026,"proceedings of the 2nd International Scientific Conference “Advances in Science, Technology, and Society”",proceedings-article,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.64076/iedc260111.20
10.7185/geochemlet.2619,Expanding Mars’ lithologic diversity: discovery of a garnet-bearing clast in NWA 8171,T.V. Kizovski; L.F. White; A. Černok; K.T. Tait; V.E. Di Cecco; X. Chu; J.M. Tomacic; R.I. Nicklin; J.R. Darling,2026,Geochemical Perspectives Letters,journal-article,False,Discovery candidate — not screened,Meteorite geochemistry,,,,https://doi.org/10.7185/geochemlet.2619
10.7551/mitpress/15341.001.0001,Becoming Martian,Scott Solomon,2026,,book,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.7551/mitpress/15341.001.0001
10.7551/mitpress/15341.003.0008,Martian Minds,,2026,Becoming Martian,book-chapter,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.7551/mitpress/15341.003.0008
10.7551/mitpress/16039.003.0021,The Martian Mind,,2026,Last and First Men,book-chapter,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.7551/mitpress/16039.003.0021
10.1007/978-3-031-83848-4,Martian Aeolian Geomorphology,Zhibao Dong; Chao Li; Ping Lü,2025,,book,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.1007/978-3-031-83848-4
10.1007/978-3-031-83848-4_5,Atmosphere of Mars,Zhibao Dong; Chao Li; Ping Lü,2025,Martian Aeolian Geomorphology,book-chapter,False,Discovery candidate — not screened,Atmosphere,,,,https://doi.org/10.1007/978-3-031-83848-4_5
10.1007/s11214-025-01194-2,Curation and Storage of Astromaterials: A Magnetic Perspective,Jérôme Gattacceca; Clara Maurel; Aurore Hutzler; Pierre Rochette; Benjamin P. Weiss,2025,Space Science Reviews,journal-article,True,Selected full-text sections consulted,Meteorite magnetism,"Describes terrestrial chemical, viscous and strong-field contamination and practical curation controls.",Makes Earth overprints a separate observation-history branch from secondary Martian remanence.,Curation sections consulted. High coercivity or unblocking temperature alone cannot establish an ancient origin.,https://doi.org/10.1007/s11214-025-01194-2
